CATEGORIA;IND_TIPO_HIPOTECA_BKMC;MARCA_PYME_BKMC;MARCA_MIN_A_EMPRESA;IND_VENTAS;CAT_REG
COE1;R;N;N;0;OTHER_EXP
COE1;R;N;N;1;OTHER_EXP
COE1;C;N;N;0;OTHER_EXP
COE1;C;N;N;1;OTHER_EXP
COE1;N;N;N;0;OTHER_EXP
COE1;N;N;N;1;OTHER_EXP
CPF00;R;N;N;1;RETAIL_MORTGAGE
CPF00;R;N;S;1;SME_MORTGAGE
CPF00;C;N;N;1;RETAIL_MORTGAGE
CPF00;C;N;S;1;SME_MORTGAGE
CPF00;N;N;N;1;RETAIL_OTHER
CPF00;N;N;S;1;SME
CPF01;R;N;N;1;RETAIL_MORTGAGE
CPF01;R;N;S;1;SME_MORTGAGE
CPF01;C;N;N;1;RETAIL_MORTGAGE
CPF01;C;N;S;1;SME_MORTGAGE
CPF01;N;N;N;1;RETAIL_OTHER
CPF01;N;N;S;1;SME
CPF02;R;N;N;1;RETAIL_MORTGAGE
CPF02;R;N;S;1;SME_MORTGAGE
CPF02;C;N;N;1;RETAIL_MORTGAGE
CPF02;C;N;S;1;SME_MORTGAGE
CPF02;N;N;N;1;RETAIL_OTHER
CPF02;N;N;S;1;SME
CPF05;R;N;N;1;RETAIL_MORTGAGE
CPF05;R;N;S;1;SME_MORTGAGE
CPF05;C;N;N;1;RETAIL_MORTGAGE
CPF05;C;N;S;1;SME_MORTGAGE
CPF05;N;N;N;1;RETAIL_OTHER
CPF05;N;N;S;1;SME
CPF06;R;N;N;1;RETAIL_MORTGAGE
CPF06;R;N;S;1;SME_MORTGAGE
CPF06;C;N;N;1;RETAIL_MORTGAGE
CPF06;C;N;S;1;SME_MORTGAGE
CPF06;N;N;N;1;RETAIL_OTHER
CPF06;N;N;S;1;SME
CPF08;R;N;N;1;RETAIL_MORTGAGE
CPF08;R;N;S;1;SME_MORTGAGE
CPF08;C;N;N;1;RETAIL_MORTGAGE
CPF08;C;N;S;1;SME_MORTGAGE
CPF08;N;N;N;1;RETAIL_OTHER
CPF08;N;N;S;1;SME
CPF09;R;N;N;1;RETAIL_MORTGAGE
CPF09;R;N;S;1;SME_MORTGAGE
CPF09;C;N;N;1;RETAIL_MORTGAGE
CPF09;C;N;S;1;SME_MORTGAGE
CPF09;N;N;N;1;RETAIL_OTHER
CPF09;N;N;S;1;SME
CPF11;R;N;N;1;RETAIL_MORTGAGE
CPF11;R;N;S;1;SME_MORTGAGE
CPF11;C;N;N;1;RETAIL_MORTGAGE
CPF11;C;N;S;1;SME_MORTGAGE
CPF11;N;N;N;1;RETAIL_OTHER
CPF11;N;N;S;1;SME
INDIV;R;N;N;1;RETAIL_MORTGAGE
INDIV;R;N;S;1;SME_MORTGAGE
INDIV;C;N;N;1;RETAIL_MORTGAGE
