TIPO_PRODUCTO;SUBTIPO_PROD;VENCIMIENTO;CCF
9999; ; 0; 1
9999; ; 1; 1
4901; ; 0; 0
4901; ; 1; 0
8501; F; 0; 1
8501; F; 1; 1
8501; ; 0; 1
8501; ; 1; 1
8301; ; 0; 0,5
8301; ; 1; 0,5
8501; T; 0; 0,5
8501; T; 1; 0,5
1001; ; 0; 0,2
1001; ; 1; 0,5
1101; ; 0; 0,2
1101; ; 1; 0,5
1401; ; 0; 0,2
1401; ; 1; 0,5
1501; ; 0; 0,2
1501; ; 1; 0,5
1601; ; 0; 0,2
1601; ; 1; 0,5
1701; ; 0; 0,2
1701; ; 1; 0,5
1801; ; 0; 0,2
1801; ; 1; 0,5
2001; ; 0; 0,2
2001; ; 1; 0,5
2101; ; 0; 0,2
2101; ; 1; 0,5
2201; ; 0; 0,2
2201; ; 1; 0,5
2301; ; 0; 0,2
2301; ; 1; 0,5
2401; ; 0; 0,2
2401; ; 1; 0,5
2501; ; 0; 0,2
2501; ; 1; 0,5
2601; ; 0; 0,2
2601; ; 1; 0,5
5003; ; 0; 0,2
5003; ; 1; 0,5
5003; A; 0; 0,2
5003; A; 1; 0,5
5005; ; 0; 0,2
5005; ; 1; 0,5
5005; A; 0; 0,2
5005; A; 1; 0,5
5101; ; 0; 0,2
5101; ; 1; 0,5
5102; ; 0; 0,2
5102; ; 1; 0,5
5103; ; 0; 0,2
5103; ; 1; 0,5
5104; ; 0; 0,2
5104; ; 1; 0,5
5105; ; 0; 0,2
5105; ; 1; 0,5
5106; ; 0; 0,2
5106; ; 1; 0,5
5107; ; 0; 0,2
5107; ; 1; 0,5
5302; ; 0; 0,2
5302; ; 1; 0,5
5501; ; 0; 0,2
5501; ; 1; 0,5
5601; ; 0; 0,2
5601; ; 1; 0,5
5901; ; 0; 0,2
5901; ; 1; 0,5
6501; ; 0; 0,2
6501; ; 1; 0,5
6502; ; 0; 0,2
6502; ; 1; 0,5
6503; ; 0; 0,2
6503; ; 1; 0,5
6504; ; 0; 0,2
6504; ; 1; 0,5
6505; ; 0; 0,2
6505; ; 1; 0,5
6506; ; 0; 0,2
6506; ; 1; 0,5
6507; ; 0; 0,2
6507; ; 1; 0,5
7601; ; 0; 0,2
7601; ; 1; 0,5
7602; ; 0; 0,2
7602; ; 1; 0,5
8901; ; 0; 0,2
8901; ; 1; 0,5
5001; ; 0; 0
5001; ; 1; 0
5001; A; 0; 0
5001; A; 1; 0
5002; ; 0; 0
5002; ; 1; 0
5002; A; 0; 0
5002; A; 1; 0
5004; ; 0; 0
5004; ; 1; 0
5004; A; 0; 0
5004; A; 1; 0
5006; ; 0; 0
5006; ; 1; 0
5006; A; 0; 0
5006; A; 1; 0
5301; ; 0; 0
5301; ; 1; 0
5801; SR; 0; 0
5801; SR; 1; 0
5801; CR; 0; 0
5801; CR; 1; 0
5801; ; 0; 0
5801; ; 1; 0
6001; ; 0; 0
6001; ; 1; 0
6201; ; 0; 0
6201; ; 1; 0
6202; ; 0; 0
6202; ; 1; 0
6203; ; 0; 0
6203; ; 1; 0
6301; ; 0; 0
6301; ; 1; 0
6801; ; 0; 0
6801; ; 1; 0
7001; ; 0; 0
7001; ; 1; 0
7101; ; 0; 0
7101; ; 1; 0
7201; ; 0; 0
7201; ; 1; 0
7301; ; 0; 0
7301; ; 1; 0
7801; ; 0; 0
7801; ; 1; 0
9401; ; 0; 0
9401; ; 1; 0
8501; P; 0; 0
8501; P; 1; 0
9900; ; 0; 1
9900; ; 1; 1
4900; ; 0; 0
4900; ; 1; 0
8500; F; 0; 1
8500; F; 1; 1
8500; ; 0; 1
8500; ; 1; 1
8300; ; 0; 0,5
8300; ; 1; 0,5
8500; T; 0; 0,5
8500; T; 1; 0,5
8500; ; 0; 0,5
8500; ; 1; 0,5
1000; ; 0; 0,2
1000; ; 1; 0,5
1100; ; 0; 0,2
1100; ; 1; 0,5
1400; ; 0; 0,2
1400; ; 1; 0,5
1500; ; 0; 0,2
1500; ; 1; 0,5
1600; ; 0; 0,2
1600; ; 1; 0,5
1700; ; 0; 0,2
1700; ; 1; 0,5
1800; ; 0; 0,2
1800; ; 1; 0,5
2000; ; 0; 0,2
2000; ; 1; 0,5
2100; ; 0; 0,2
2100; ; 1; 0,5
2200; ; 0; 0,2
2200; ; 1; 0,5
2300; ; 0; 0,2
2300; ; 1; 0,5
2400; ; 0; 0,2
2400; ; 1; 0,5
2500; ; 0; 0,2
2500; ; 1; 0,5
2600; ; 0; 0,2
2600; ; 1; 0,5
5000; ; 0; 0,2
5000; ; 1; 0,5
5000; A; 0; 0,2
5000; A; 1; 0,5
5100; ; 0; 0,2
5100; ; 1; 0,5
5300; ; 0; 0,2
5300; ; 1; 0,5
5500; ; 0; 0,2
5500; ; 1; 0,5
5600; ; 0; 0,2
5600; ; 1; 0,5
5900; ; 0; 0,2
5900; ; 1; 0,5
6500; ; 0; 0,2
6500; ; 1; 0,5
7600; ; 0; 0,2
7600; ; 1; 0,5
8900; ; 0; 0,2
8900; ; 1; 0,5
5800; SR; 0; 0
5800; SR; 1; 0
5800; CR; 0; 0
5800; CR; 1; 0
5800; ; 0; 0
5800; ; 1; 0
5800; ; 0; 0
5800; ; 1; 0
6000; ; 0; 0
6000; ; 1; 0
6200; ; 0; 0
6200; ; 1; 0
6300; ; 0; 0
6300; ; 1; 0
6800; ; 0; 0
6800; ; 1; 0
7000; ; 0; 0
7000; ; 1; 0
7100; ; 0; 0
7100; ; 1; 0
7300; ; 0; 0
7300; ; 1; 0
7800; ; 0; 0
7800; ; 1; 0
9400; ; 0; 0
9400; ; 1; 0
8500; P; 0; 0
8500; P; 1; 0
